"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Cash/sh","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change"
58,"PHUN","Phunware Inc","Technology","Software - Application","USA",53.52,,2.69,8.03,7.91,1.45%,8.10%,20.52%,,13.27%,2.88,1.05,0.68%,-0.90%,-0.22%,-1.04%,-1.91%,-1.99%,-12.53%,-12.42%,-12.76%,-17.31%,16.11%,15.31%,-8.32%,77.26%,-66.59%,62.56%,0.51,5.96%,7.59%,19.03%,7.56%,-19.44%,160.23,6191097,5.83,7.51,7.49,6.51,6.66,14.32%
59,"PL","Planet Labs PBC","Industrials","Aerospace & Defense","USA",612.07,,0.98,268.12,192.12,33.93%,-0.00%,26.87%,8.64%,3.58%,4.69,6.87,0.24%,0.24%,0.24%,0.96%,1.45%,3.44%,2.68%,4.71%,4.21%,4.21%,15.66%,3.19%,4.73%,-3.44%,-39.51%,-14.78%,0.10,5.62%,5.15%,12.99%,10.56%,-3.10%,3.26,505719,2.02,2.07,2.11,2.03,2.11,4.21%
60,"POWW","AMMO Inc","Industrials","Aerospace & Defense","USA",237.62,,0.47,119.18,89.26,25.11%,-1.46%,27.59%,-8.60%,3.19%,4.05,2.85,0.65%,0.70%,1.22%,4.41%,5.21%,6.05%,11.39%,11.40%,9.55%,13.28%,25.40%,-19.93%,-19.28%,-5.06%,-9.78%,-5.06%,0.12,3.64%,6.72%,15.45%,-8.77%,-13.31%,16.74,1248401,1.66,1.82,2.00,1.79,1.99,20.11%
61,"QS","QuantumScape Corp","Consumer Cyclical","Auto Parts","USA",4156.14,,2.02,433.16,345.15,30.91%,-0.80%,24.18%,3.37%,16.01%,6.98,55.25,0.18%,0.26%,0.67%,0.77%,3.21%,0.94%,2.09%,3.74%,1.71%,0.85%,64.10%,49.37%,43.20%,2.72%,-17.95%,19.71%,0.45,9.67%,5.92%,57.28%,50.27%,34.73%,7.26,6094497,8.25,8.11,8.48,8.04,8.32,0.85%
62,"RCAT","Red Cat Holdings Inc","Technology","Computer Hardware","USA",146.33,,0.10,54.57,50.34,32.22%,0.00%,18.91%,3.30%,5.66%,3.10,2.85,0.02%,0.51%,0.01%,0.03%,2.08%,3.68%,7.66%,7.10%,10.67%,10.67%,68.38%,97.00%,123.89%,160.31%,66.95%,123.86%,0.14,13.14%,11.50%,66.95%,76.36%,115.58%,7.24,705697,1.75,1.80,1.98,1.80,1.97,12.57%
63,"RGTI","Rigetti Computing Inc","Technology","Computer Hardware","USA",195.99,,0.60,147.07,135.90,20.95%,-0.62%,19.37%,-8.91%,15.09%,4.23,20.51,0.88%,1.33%,1.79%,2.16%,1.79%,3.17%,3.64%,4.59%,5.59%,3.64%,9.62%,11.76%,-3.39%,6.54%,-43.00%,15.75%,0.10,14.97%,9.90%,14.54%,4.94%,-7.78%,2.15,1105578,1.08,1.10,1.14,1.09,1.14,5.56%
64,"RIOT","Riot Platforms Inc","Financial","Capital Markets","USA",2980.31,14.05,2.38,288.79,264.27,8.49%,-0.20%,41.33%,6.06%,23.36%,2.68,61.72,0.44%,0.31%,0.01%,-0.53%,-0.05%,0.24%,-0.77%,-0.28%,-0.19%,0.00%,9.79%,-3.01%,13.41%,-21.16%,-49.14%,-33.29%,0.62,5.73%,5.89%,6.15%,3.68%,-10.77%,2.58,6304785,9.81,10.34,10.45,10.24,10.32,5.25%
65,"RUM","Rumble Inc","Technology","Software - Application","USA",1799.71,,0.65,114.93,69.94,75.21%,-1.26%,9.12%,160.55%,19.74%,12.12,13.80,-0.47%,-1.24%,0.08%,0.63%,0.95%,-0.16%,-3.63%,-2.45%,-1.39%,-3.48%,11.73%,9.81%,0.31%,71.96%,-27.34%,42.09%,0.30,3.98%,4.13%,13.71%,2.14%,8.27%,18.68,2254871,5.94,6.71,6.83,6.24,6.38,7.41%
66,"SCNI","Scinai Immunotherapeutics Ltd ADR","Healthcare","Biotechnology","Israel",4.30,,9.20,0.54,0.53,2.25%,0.00%,7.59%,-65.24%,3.90%,0.04,0.02,-0.49%,-6.12%,-0.86%,-2.69%,4.15%,-7.53%,23.19%,38.38%,28.56%,71.78%,164.73%,196.30%,66.05%,38.62%,-46.51%,33.87%,0.87,13.48%,19.40%,135.27%,113.96%,48.56%,307.06,18376135,4.06,6.66,8.92,6.47,7.97,96.32%
67,"SISI","Shineco Inc","Consumer Defensive","Farm Products","China",6.04,,0.09,26.39,6.43,0.26%,0.00%,0.87%,2.18%,3.04%,0.37,0.20,-0.11%,0.71%,0.72%,0.63%,0.25%,3.74%,-0.95%,-1.16%,2.96%,0.51%,-70.26%,-75.92%,31.57%,-19.23%,-69.38%,-16.79%,0.80,46.19%,30.70%,-69.92%,-56.50%,-32.16%,47.14,2673729,0.84,0.97,0.98,0.90,0.94,11.47%
68,"SMR","NuScale Power Corporation","Industrials","Specialty Industrial Machinery","USA",1460.38,,1.55,88.54,77.81,12.11%,-1.57%,32.33%,4.26%,19.19%,2.86,14.93,0.30%,0.76%,1.31%,-0.01%,1.31%,0.24%,0.08%,0.70%,3.35%,3.74%,20.48%,95.20%,212.98%,604.87%,109.58%,401.34%,1.31,11.69%,11.76%,46.99%,86.83%,221.57%,6.15,3401638,15.34,16.82,16.90,15.95,16.49,7.52%
69,"SOFI","SoFi Technologies Inc","Financial","Credit Services","USA",7559.23,,4.37,1057.22,1005.29,4.91%,-27.65%,38.31%,4.43%,18.60%,4.90,187.00,-0.01%,-0.21%,-0.21%,0.14%,0.92%,1.58%,0.99%,1.13%,0.99%,1.42%,12.60%,1.13%,-2.45%,-12.48%,-21.94%,-28.14%,0.22,3.57%,3.31%,9.76%,4.89%,-5.86%,2.01,8142734,6.97,7.06,7.21,7.01,7.15,2.58%
70,"SWBI","Smith & Wesson Brands Inc","Industrials","Aerospace & Defense","USA",715.29,18.27,1.34,45.56,44.63,2.03%,-2.23%,60.24%,-3.47%,2.69%,3.00,1.20,0.10%,-0.00%,0.00%,-0.63%,-1.16%,-1.26%,4.32%,5.23%,6.80%,7.02%,12.06%,-3.27%,-6.27%,15.10%,17.78%,15.78%,0.47,1.54%,2.52%,6.30%,-0.10%,6.09%,13.81,587023,14.02,15.17,16.02,15.13,15.70,11.98%
71,"TNA","Direxion Daily Small Cap Bull 3X Shares","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,0.32%,0.39%,0.53%,0.65%,1.47%,0.62%,0.39%,0.86%,0.46%,-0.30%,20.04%,15.55%,21.45%,23.95%,12.41%,10.22%,1.61,3.59%,3.57%,19.24%,16.06%,25.71%,3.56,5737163,42.14,43.15,43.49,42.84,43.48,3.18%
72,"TSLL","Direxion Daily TSLA Bull 2X Shares","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,0.01%,1.11%,1.57%,0.84%,2.34%,0.55%,2.99%,2.71%,2.51%,2.04%,5.29%,105.56%,104.48%,24.16%,-16.29%,8.08%,1.28,15.57%,10.56%,43.32%,74.40%,45.77%,5.26,22336456,14.02,14.91,15.57,14.55,15.52,10.70%
73,"TSLR","GraniteShares 2x Long TSLA Daily ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,-0.09%,1.12%,1.64%,0.90%,2.41%,0.64%,2.98%,2.67%,2.63%,2.22%,5.24%,107.69%,105.33%,7.31%,,-8.99%,1.93,15.41%,10.42%,43.54%,75.24%,32.70%,7.82,627804,21.18,22.53,23.57,22.02,23.49,10.91%
74,"TSLT","T-REX 2X Long Tesla Daily Target ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,-0.05%,1.09%,1.67%,0.80%,2.35%,0.66%,2.95%,2.70%,2.65%,2.06%,5.29%,107.29%,104.90%,4.41%,,-13.27%,1.76,15.56%,10.53%,43.47%,75.01%,37.77%,4.67,3730037,19.25,20.45,21.37,19.96,21.31,10.70%
75,"UPST","Upstart Holdings Inc","Financial","Credit Services","USA",2475.58,,5.00,86.33,75.47,14.12%,-2.59%,44.29%,-14.32%,33.34%,5.36,25.16,0.46%,1.24%,1.31%,1.61%,2.01%,1.26%,1.51%,1.78%,1.33%,1.15%,21.32%,12.77%,18.26%,-15.23%,-40.57%,-31.06%,1.25,5.12%,4.94%,20.38%,15.91%,1.14%,2.24,1114918,27.11,27.77,28.20,27.48,28.17,3.91%
76,"X","United States Steel Corp.","Basic Materials","Steel","USA",8955.78,11.73,9.92,223.67,222.00,1.27%,0.00%,88.42%,-5.81%,9.77%,7.78,21.69,-0.03%,0.08%,0.18%,0.19%,-0.44%,-0.13%,0.25%,-0.42%,1.12%,1.35%,1.61%,6.95%,-3.63%,-16.55%,59.19%,-18.13%,0.91,2.15%,2.51%,5.83%,6.09%,0.04%,2.36,698490,39.30,39.93,40.05,39.72,39.83,1.35%
77,"YANG","Direxion Daily FTSE China Bear -3X Shares","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,-0.07%,-0.13%,-0.22%,-0.13%,-0.38%,-0.90%,0.76%,0.76%,1.02%,1.28%,-6.49%,-5.48%,-33.31%,-46.49%,-12.86%,-38.05%,0.39,3.15%,2.94%,-4.22%,0.49%,-30.91%,2.83,1768449,7.55,7.87,8.03,7.87,7.93,5.03%
78,"ZETA","Zeta Global Holdings Corp","Technology","Software - Application","USA",4143.88,,0.65,188.63,159.64,27.04%,0.00%,56.88%,12.33%,6.77%,4.37,10.81,0.53%,0.11%,-0.05%,1.07%,2.41%,1.88%,2.88%,3.33%,4.35%,4.12%,10.63%,8.98%,58.36%,103.88%,111.86%,114.74%,0.72,4.47%,3.79%,13.07%,15.62%,68.38%,2.59,679934,17.66,18.36,18.96,18.36,18.94,7.25%
