"No.","Ticker","Company","Country","Market Cap","P/E","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Earnings Date","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close"
111,"MTNB","Matinas Biopharma Holdings Inc","USA",47.48,,244.48,2.53%,0.00%,11.09%,2.64%,0.92%,2.41,2.24,1.39%,1.39%,1.39%,1.94%,3.33%,0.11%,1.18%,2.21%,3.44%,2.21%,16.13%,18.31%,-6.52%,-16.61%,-47.99%,-12.44%,0.01,5.66%,5.40%,17.13%,14.96%,-10.24%,5/9/2024 4:30:00 PM,1.18%,2.46%,930.26,3.96,443965,0.18,0.19,0.19,0.18,0.19,3.67%,
112,"MTCH","Match Group Inc.","USA",9243.99,15.15,264.05,0.61%,-0.06%,100.13%,-3.50%,5.45%,2.79,14.38,-0.01%,0.16%,0.16%,0.59%,0.85%,0.46%,2.53%,2.43%,0.94%,0.45%,12.46%,10.09%,8.87%,-5.65%,-27.62%,-4.67%,0.96,2.86%,2.63%,13.78%,13.02%,3.14%,7/30/2024 4:30:00 PM,1.61%,6.95%,5149.98,4.49,2846481,32.02,34.24,34.81,33.68,34.79,8.67%,
113,"TRX","TRX Gold Corp","Canada",117.50,,272.92,2.26%,0.00%,1.13%,52.62%,0.15%,1.25,0.41,-2.12%,-2.12%,-2.12%,-1.06%,0.02%,-0.99%,-1.66%,-1.66%,-2.52%,-2.52%,1.40%,3.59%,1.91%,10.24%,-9.51%,10.69%,0.02,6.11%,4.85%,2.93%,-3.36%,5.54%,7/14/2024 4:30:00 PM,-1.66%,2.27%,329.82,3.72,148115,0.42,0.43,0.44,0.42,0.42,0.57%,
114,"M","Macy's Inc","USA",4687.36,458.32,274.33,0.75%,-12.92%,81.80%,-4.75%,4.78%,2.59,13.12,0.08%,0.19%,0.43%,0.54%,0.46%,-0.01%,-0.04%,-0.71%,0.54%,-0.13%,-10.13%,-10.79%,-10.23%,-8.53%,8.98%,-15.72%,0.83,3.39%,3.16%,-9.04%,-11.02%,-3.47%,5/21/2024 8:30:00 AM,-0.36%,1.01%,5059.21,2.36,1470533,16.85,17.02,17.05,16.81,16.96,0.64%,
115,"U","Unity Software Inc","USA",6957.31,,284.46,27.22%,-0.60%,53.36%,-0.34%,10.68%,3.52,30.38,0.11%,0.28%,0.65%,1.42%,1.42%,1.31%,3.73%,4.11%,4.31%,4.03%,14.69%,6.08%,-27.14%,-48.54%,-59.86%,-56.47%,0.81,5.50%,4.61%,10.12%,-5.27%,-34.80%,8/8/2024 4:30:00 PM,4.71%,0.41%,8633.10,2.11,2240969,16.93,17.00,17.80,16.99,17.80,5.14%,
116,"BITF","Bitfarms Ltd.","Canada",1120.36,,321.53,19.33%,0.00%,22.59%,,7.60%,1.12,24.43,-0.14%,-0.33%,-0.85%,-1.55%,-1.91%,-2.06%,-0.15%,-0.33%,-0.68%,1.11%,13.34%,0.03%,62.47%,15.20%,42.68%,-3.41%,0.20,6.93%,8.00%,3.70%,21.12%,32.51%,5/15/2024 8:30:00 AM,-0.33%,1.81%,21875.01,2.25,6046150,2.77,2.82,2.88,2.79,2.81,1.47%,
117,"QS","QuantumScape Corp","USA",4380.88,,345.15,30.91%,-0.80%,24.18%,3.37%,16.01%,6.72,55.25,0.09%,-0.90%,-0.96%,-0.55%,-0.88%,-2.39%,-2.99%,-0.45%,1.66%,2.57%,65.47%,68.01%,62.11%,19.00%,-11.05%,26.19%,0.48,10.71%,5.83%,60.62%,56.58%,41.74%,7/24/2024 4:30:00 PM,0.46%,1.28%,8225.11,6.08,6154337,8.62,8.73,9.20,8.65,8.77,1.74%,
118,"LXRX","Lexicon Pharmaceuticals Inc","USA",809.74,,351.32,2.81%,0.00%,62.59%,11.63%,5.75%,7.44,20.20,-0.67%,-1.75%,-2.82%,-2.22%,-2.18%,-0.97%,3.70%,4.75%,5.66%,4.67%,40.00%,22.40%,19.79%,63.50%,1.36%,46.41%,0.13,7.45%,7.19%,28.39%,26.82%,31.87%,5/2/2024 4:30:00 PM,5.16%,0.47%,2714.45,3.27,1070811,2.12,2.13,2.32,2.13,2.24,5.66%,
119,"NWSA","News Corp","USA",15306.82,78.57,374.78,30.24%,0.00%,71.77%,-0.70%,2.06%,2.98,7.72,0.07%,0.04%,0.00%,0.39%,0.32%,0.08%,2.41%,2.41%,1.71%,1.71%,2.78%,4.78%,17.34%,17.53%,40.97%,16.05%,0.47,1.53%,1.61%,3.73%,6.66%,16.76%,5/8/2024 4:30:00 PM,2.21%,0.63%,2594.20,2.75,876886,27.70,27.88,28.56,27.77,28.49,2.85%,
120,"TOST","Toast Inc","USA",14925.48,,379.19,31.70%,-0.41%,61.06%,5.91%,8.41%,4.35,31.89,-0.12%,-0.20%,-0.28%,-1.27%,-0.54%,-0.20%,1.95%,3.40%,3.68%,3.68%,7.84%,18.33%,19.49%,49.78%,7.20%,47.23%,0.97,4.11%,3.88%,7.30%,8.23%,30.28%,5/7/2024 4:30:00 PM,2.73%,0.96%,7326.59,2.28,2057153,25.92,26.17,27.27,26.22,26.89,3.72%,
121,"CHPT","ChargePoint Holdings Inc","USA",977.13,,386.65,9.09%,-4.46%,37.69%,-0.39%,29.34%,7.95,113.42,0.11%,-0.51%,-0.07%,-0.01%,-0.97%,-0.97%,0.99%,3.03%,3.45%,3.49%,29.80%,33.58%,45.41%,20.92%,-72.19%,-1.82%,0.15,9.60%,8.70%,38.74%,34.48%,6.46%,6/5/2024 4:30:00 PM,3.03%,2.29%,14274.53,2.83,4975301,2.18,2.23,2.33,2.22,2.30,5.39%,
122,"ASML","ASML Holding NV","Netherlands",420927.94,54.69,393.19,0.06%,0.00%,19.62%,-1.19%,0.32%,1.20,1.25,0.06%,-0.06%,0.09%,-0.29%,-0.39%,-0.30%,0.02%,-0.23%,-0.01%,-0.53%,0.94%,1.63%,12.05%,50.01%,41.90%,41.35%,28.37,3.37%,2.34%,1.91%,7.52%,26.85%,7/17/2024 8:30:00 AM,-0.44%,1.04%,1040.70,2.30,294086,1063.63,1074.68,1077.05,1066.69,1069.92,0.59%,
123,"PNC","PNC Financial Services Group Inc","USA",69204.51,14.61,396.29,0.41%,-0.61%,84.01%,-3.60%,1.44%,3.54,5.71,-0.01%,0.04%,-0.01%,0.03%,1.10%,1.28%,1.98%,4.14%,2.60%,2.24%,7.68%,14.61%,16.29%,16.79%,38.26%,12.32%,3.24,2.09%,1.77%,10.41%,11.16%,19.52%,7/16/2024 8:30:00 AM,3.09%,-0.18%,1611.72,2.21,438079,169.02,168.71,174.35,169.01,173.92,2.90%,
124,"NAK","Northern Dynasty Minerals Ltd.","Canada",209.66,,526.75,2.04%,0.00%,13.83%,0.07%,1.25%,6.48,6.60,0.00%,-0.03%,0.00%,0.00%,0.33%,0.78%,2.61%,0.78%,2.61%,2.61%,22.80%,40.25%,18.87%,43.24%,48.70%,20.60%,0.02,7.51%,5.70%,26.42%,28.77%,27.86%,5/17/2024 8:30:00 AM,2.36%,-0.29%,1018.14,4.39,549602,0.38,0.38,0.39,0.38,0.39,2.07%,
125,"OPEN","Opendoor Technologies Inc","USA",1797.76,,560.46,18.96%,-1.41%,55.78%,-3.59%,15.00%,5.29,84.07,0.10%,-0.40%,-0.97%,-1.72%,-1.53%,-2.09%,-0.59%,-2.27%,-2.60%,-3.00%,36.82%,23.79%,18.70%,-25.94%,-41.45%,-41.98%,0.16,9.52%,7.14%,35.00%,23.12%,-4.82%,8/1/2024 4:30:00 PM,-0.40%,2.76%,15881.56,5.36,10470373,2.54,2.61,2.72,2.58,2.60,2.34%,
126,"XPEV","XPeng Inc ADR","China",6699.41,,763.66,0.89%,0.00%,14.15%,-0.96%,7.60%,4.29,58.05,-0.04%,-0.29%,0.29%,0.08%,-0.57%,-0.40%,2.17%,2.05%,1.22%,1.46%,15.78%,17.98%,20.76%,-26.13%,-37.98%,-40.40%,0.51,5.21%,4.67%,10.86%,7.46%,-21.76%,5/21/2024 8:30:00 AM,2.05%,1.43%,13545.53,2.00,3334611,8.40,8.52,8.82,8.51,8.69,3.51%,
127,"LCID","Lucid Group Inc","USA",8547.99,,860.11,62.72%,0.00%,12.21%,0.63%,29.24%,9.23,251.51,0.00%,-0.40%,0.12%,1.20%,0.00%,-1.59%,-0.40%,0.41%,0.41%,0.41%,19.90%,45.87%,52.47%,23.29%,-44.70%,-12.00%,0.25,12.72%,6.69%,28.65%,31.10%,6.77%,8/5/2024 4:30:00 PM,-0.94%,3.60%,27260.62,3.52,11808162,3.61,3.74,3.84,3.66,3.70,2.63%,
128,"TKC","Turkcell Iletisim Hizmetleri A.S. ADR","Turkey",7113.65,14.87,872.83,0.00%,,3.74%,8.01%,0.03%,0.63,0.28,0.00%,0.00%,0.00%,0.12%,0.12%,0.18%,0.49%,0.87%,0.87%,1.37%,0.87%,10.73%,48.72%,57.95%,104.26%,69.44%,0.21,1.99%,2.27%,5.75%,12.47%,45.05%,5/27/2024 8:30:00 AM,0.84%,0.02%,438.39,2.17,117080,8.08,8.08,8.15,8.07,8.15,0.87%,
129,"UNH","Unitedhealth Group Inc","USA",492973.93,32.72,918.59,0.20%,-1.66%,89.34%,-0.70%,0.84%,1.84,7.69,0.10%,-0.42%,-0.21%,-0.34%,0.28%,-0.23%,0.90%,1.25%,4.04%,6.32%,8.84%,7.71%,20.19%,2.71%,11.55%,1.74%,11.79,2.40%,2.05%,8.50%,7.13%,5.03%,7/16/2024 8:30:00 AM,0.32%,3.60%,4172.14,4.23,2172961,515.37,533.90,539.74,527.13,535.62,3.93%,
130,"SHOP","Shopify Inc","Canada",87644.55,,1205.41,6.46%,0.00%,63.93%,2.72%,1.64%,1.86,19.73,-0.05%,-0.10%,0.30%,-0.71%,-0.66%,-0.04%,1.45%,0.42%,2.35%,2.77%,2.84%,5.13%,-0.82%,-16.45%,-0.64%,-12.69%,1.97,2.33%,2.71%,3.61%,7.11%,-1.71%,5/8/2024 8:30:00 AM,1.00%,4.87%,10616.26,4.54,5929234,64.21,67.34,68.89,66.83,68.01,5.92%,
131,"BAC","Bank Of America Corp.","USA",339521.37,14.99,7806.93,0.17%,0.00%,73.23%,0.34%,0.86%,1.89,67.40,-0.16%,-0.08%,-0.14%,0.09%,0.42%,0.40%,2.30%,2.83%,1.79%,1.65%,4.82%,10.58%,20.76%,32.36%,49.14%,28.94%,0.81,1.84%,1.72%,7.60%,9.90%,27.02%,7/16/2024 8:30:00 AM,2.10%,1.50%,35657.89,3.61,15832002,41.89,42.52,43.51,42.22,43.42,3.64%,
132,"HEPS","D-MARKET Electronic Services & Trading ADR","Turkey",964.88,146.54,,,,6.01%,,,0.26,0.16,0.12%,0.41%,1.09%,2.06%,1.45%,2.36%,3.91%,2.66%,2.36%,2.36%,13.92%,74.95%,158.80%,98.21%,111.67%,90.51%,0.19,7.32%,7.82%,40.80%,67.50%,112.74%,6/13/2024 8:30:00 AM,3.13%,-1.34%,601.13,5.74,416110,3.37,3.33,3.44,3.20,3.43,1.75%,
