Symbol,Combination,Total_Trades,Profitable_Trades,Total_Profit_Loss,Accuracy
AIG,"Relative Volume, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
AIG,"Volume_Float_Ratio, Volume_Per_Minute, Volume_Per_Minute_Institutional_Transactions",59,36,3.3326797485351562,61.016949152542374
AIG,"Volume_Float_Ratio, Volume_Per_Minute, Short Ratio",0,0,0.0,0.0
AIG,"Volume_Float_Ratio, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
AIG,"Volume_Per_Minute, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
STZ,"Market_Force_Indicator, Volume_Float_Ratio, Relative Volume",28,13,0.9800262451171875,46.42857142857143
STZ,"Market_Force_Indicator, Volume_Per_Minute, Relative Volume",14,5,-5.9649658203125,35.714285714285715
STZ,"Market_Force_Indicator, Relative Volume, Volume_Per_Minute_Institutional_Transactions",1,0,-6.7849884033203125,0.0
STZ,"Market_Force_Indicator, Relative Volume, Short Ratio",0,0,0.0,0.0
STZ,"Market_Force_Indicator, Volume_Float_Ratio, Volume_Per_Minute",16,7,-3.1349639892578125,43.75
STZ,"Market_Force_Indicator, Volume_Float_Ratio, Volume_Per_Minute_Institutional_Transactions",1,0,-6.7849884033203125,0.0
STZ,"Volume_Float_Ratio, Volume_Per_Minute, Relative Volume",14,5,-5.9649658203125,35.714285714285715
STZ,"Market_Force_Indicator, Volume_Float_Ratio, Short Ratio",0,0,0.0,0.0
STZ,"Volume_Float_Ratio, Relative Volume, Volume_Per_Minute_Institutional_Transactions",1,0,-6.7849884033203125,0.0
STZ,"Market_Force_Indicator, Volume_Per_Minute, Volume_Per_Minute_Institutional_Transactions",1,0,-6.7849884033203125,0.0
STZ,"Volume_Float_Ratio, Relative Volume, Short Ratio",0,0,0.0,0.0
STZ,"Market_Force_Indicator, Volume_Per_Minute, Short Ratio",0,0,0.0,0.0
STZ,"Volume_Per_Minute, Relative Volume, Volume_Per_Minute_Institutional_Transactions",1,0,-6.7849884033203125,0.0
STZ,"Market_Force_Indicator, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
STZ,"Volume_Per_Minute, Relative Volume, Short Ratio",0,0,0.0,0.0
STZ,"Relative Volume, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
STZ,"Volume_Float_Ratio, Volume_Per_Minute, Volume_Per_Minute_Institutional_Transactions",1,0,-6.7849884033203125,0.0
STZ,"Volume_Float_Ratio, Volume_Per_Minute, Short Ratio",0,0,0.0,0.0
STZ,"Volume_Float_Ratio, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
STZ,"Volume_Per_Minute, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
BXP,"Market_Force_Indicator, Volume_Float_Ratio, Relative Volume",31,16,3.9228897094726562,51.61290322580645
BXP,"Market_Force_Indicator, Volume_Per_Minute, Relative Volume",14,6,0.8799018859863281,42.857142857142854
BXP,"Market_Force_Indicator, Relative Volume, Volume_Per_Minute_Institutional_Transactions",3,1,-0.1150054931640625,33.33333333333333
BXP,"Market_Force_Indicator, Relative Volume, Short Ratio",0,0,0.0,0.0
BXP,"Market_Force_Indicator, Volume_Float_Ratio, Volume_Per_Minute",21,12,3.313995361328125,57.14285714285714
BXP,"Market_Force_Indicator, Volume_Float_Ratio, Volume_Per_Minute_Institutional_Transactions",3,1,-0.1150054931640625,33.33333333333333
BXP,"Volume_Float_Ratio, Volume_Per_Minute, Relative Volume",14,6,0.8799018859863281,42.857142857142854
BXP,"Market_Force_Indicator, Volume_Float_Ratio, Short Ratio",0,0,0.0,0.0
BXP,"Volume_Float_Ratio, Relative Volume, Volume_Per_Minute_Institutional_Transactions",3,1,-0.1150054931640625,33.33333333333333
BXP,"Market_Force_Indicator, Volume_Per_Minute, Volume_Per_Minute_Institutional_Transactions",3,1,-0.1150054931640625,33.33333333333333
BXP,"Volume_Float_Ratio, Relative Volume, Short Ratio",0,0,0.0,0.0
BXP,"Market_Force_Indicator, Volume_Per_Minute, Short Ratio",0,0,0.0,0.0
BXP,"Volume_Per_Minute, Relative Volume, Volume_Per_Minute_Institutional_Transactions",3,1,-0.1150054931640625,33.33333333333333
BXP,"Market_Force_Indicator, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
BXP,"Volume_Per_Minute, Relative Volume, Short Ratio",0,0,0.0,0.0
BXP,"Relative Volume, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
BXP,"Volume_Float_Ratio, Volume_Per_Minute, Volume_Per_Minute_Institutional_Transactions",3,1,-0.1150054931640625,33.33333333333333
BXP,"Volume_Float_Ratio, Volume_Per_Minute, Short Ratio",0,0,0.0,0.0
BXP,"Volume_Float_Ratio, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
BXP,"Volume_Per_Minute, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
CINF,"Market_Force_Indicator, Volume_Float_Ratio, Relative Volume",45,26,8.291282653808594,57.77777777777777
CINF,"Market_Force_Indicator, Volume_Per_Minute, Relative Volume",1,0,-2.350006103515625,0.0
CINF,"Market_Force_Indicator, Relative Volume, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
CINF,"Market_Force_Indicator, Relative Volume, Short Ratio",0,0,0.0,0.0
CINF,"Market_Force_Indicator, Volume_Float_Ratio, Volume_Per_Minute",4,2,1.4099960327148438,50.0
CINF,"Market_Force_Indicator, Volume_Float_Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
CINF,"Volume_Float_Ratio, Volume_Per_Minute, Relative Volume",1,0,-2.350006103515625,0.0
CINF,"Market_Force_Indicator, Volume_Float_Ratio, Short Ratio",0,0,0.0,0.0
CINF,"Volume_Float_Ratio, Relative Volume, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
CINF,"Market_Force_Indicator, Volume_Per_Minute, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
CINF,"Volume_Float_Ratio, Relative Volume, Short Ratio",0,0,0.0,0.0
CINF,"Market_Force_Indicator, Volume_Per_Minute, Short Ratio",0,0,0.0,0.0
CINF,"Volume_Per_Minute, Relative Volume, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
CINF,"Market_Force_Indicator, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
